Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;SPD;;CDU;;Gruene;;FDP;;AfD;;CSU;;Linke;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Basisdemokratische Partei Deutschland;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;Die Gerechtigkeitspartei – Team Todenhöfer;;Piratenpartei Deutschland;;Volt Deutschland;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;Südschleswigscher Wählerverband;;Partei für Verjüngungsforschung;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;Bündnis C - Christen für Deutschland;;Bayernpartei;;Marxistisch-Leninistische Partei Deutschlands;;Menschliche Welt - für das Wohl und Glücklichsein aller;;Partei des Fortschritts;;Sozialistische Gleichheitspartei, Vierte Internationale;;Bürgerrechtsbewegung Solidarität;;BÜNDNIS DEUTSCHLAND;;BSW;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;WerteUnion;;Übrige;
;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
243;Nürnberg-Nord;09;187178;187178;151378;151378;889;635;150489;150743;26739;23568;;;32432;29683;4976;6530;18093;18303;45420;41084;14697;19233;2962;1761;;1291;;414;1597;748;;;;;2243;1582;984;488;;;;;;158;;;;56;346;83;;;;;;;;;;139;;5622;;;;;;
244;Nürnberg-Süd;09;174758;174758;136867;136867;1005;714;135862;136153;24212;20814;;;14729;15262;3557;4872;27132;26901;48915;43914;10811;11682;3668;2386;;1507;;422;;582;;;;;1870;906;968;430;;;;;;105;;;;87;;68;;;;;;;;;;166;;6049;;;;;;
245;Roth;09;227701;227701;197174;197174;990;630;196184;196544;25556;26319;;;24180;23879;5524;7482;33197;35443;84143;74208;9949;10626;8870;7155;;1818;;656;;753;;;;;1884;1082;1397;657;;;;;;110;;;;187;;27;;;;;;;;;655;283;;5859;;;;;829;
246;Aschaffenburg;09;180280;180280;155319;155319;984;742;154335;154577;19006;19697;;;18230;17251;5169;6833;28439;29410;67592;58806;7335;9277;4314;3455;;1509;;405;;641;;;;;1650;1177;1078;492;;;;;;111;;;572;236;;70;;;;;;;;;423;222;;4985;;;;;527;
247;Bad Kissingen;09;210364;210364;180549;180549;7630;734;172919;179815;25127;17374;;;10616;13320;8443;6462;;41399;87357;75099;9962;8239;22295;8052;;1261;;697;;671;;;;;;717;2239;621;;;;;;112;;;;226;;34;;;;;;;;;6880;284;;5247;;;;;;
248;Main-Spessart;09;191994;191994;165485;165485;947;598;164538;164887;25758;20525;;;13734;14699;3807;5892;29811;31911;74872;67725;6798;8065;8327;6235;;1427;;591;;605;;;;;;956;1431;549;;;;;;97;;;;168;;29;;;;;;;;;;219;;5194;;;;;;
249;Schweinfurt;09;194070;194070;163493;163493;1008;656;162485;162837;21832;18705;;;12894;14828;3992;5823;33826;34401;70454;64165;7606;8467;7822;6342;;1369;;682;;613;;;;;1558;958;1374;561;;;;;;111;;;930;338;197;56;;;;;;;;;;131;;5287;;;;;;
250;Würzburg;09;222633;222633;192414;192414;1014;559;191400;191855;26348;25877;;;36590;31416;8009;8492;24815;25961;74909;68556;9764;15639;5704;4455;;1491;2083;851;;717;;;;;3178;1922;;628;;;;;;176;;;;161;;29;;;;;;;;;;166;;5318;;;;;;
251;Augsburg-Stadt;09;186447;186447;148106;148106;803;547;147303;147559;20701;19791;;;30321;24311;4138;6076;25488;25826;45744;41917;10969;15568;5462;3359;;1189;1433;679;;931;;;;;1726;1011;1078;557;;;;;;139;;;;162;243;93;;;;;;;;;;119;;5831;;;;;;
252;Augsburg-Land;09;231356;231356;199572;199572;985;640;198587;198932;25217;21263;;;18277;21838;5509;7946;37562;38629;88361;79039;7841;9555;10256;9325;;1443;1969;1002;;793;;;;;1479;777;2116;863;;;;;;120;;;;300;;42;;;;;;;;;;145;;5852;;;;;;
253;Donau-Ries;09;192384;192384;163307;163307;665;543;162642;162764;19718;15226;;;9398;11852;3894;6071;34914;36832;73296;67120;5536;6250;9962;10291;;1215;1411;911;;527;;;;;;520;964;567;;;;;;83;;;;221;;20;;;;;;;;;;108;3549;4950;;;;;;
254;Neu-Ulm;09;215190;215190;178448;178448;1057;660;177391;177788;18762;19104;;;14869;15920;5121;7349;41999;41290;75357;65849;8006;9318;6163;6688;3014;1912;1422;738;;711;;;;;1755;1026;;585;;;;;264;149;;;;277;;38;;;;;;;;;659;280;;6554;;;;;;
255;Memmingen – Unterallgäu;09;159352;159352;134549;134549;948;419;133601;134130;12674;12136;;;10821;11191;3937;5528;30372;31392;58477;52441;6213;5944;11107;7307;;1006;;723;;548;;;;;;537;;840;;;;;;90;;;;235;;23;;;;;;;;;;126;;4063;;;;;;
256;Oberallgäu;09;227116;227116;191708;191708;999;720;190709;190988;16061;20116;;;23667;23602;8116;8216;31804;33444;70228;72528;7461;10016;16474;9775;2980;1825;;1225;;894;;;;;2205;1431;1559;988;;;;;;110;;;;287;;45;;;;;;;;;;206;;6280;;;;;10154;
257;Ostallgäu;09;161049;161049;136863;136863;937;448;135926;136415;13576;12772;;;14112;13673;3543;5211;26565;27434;61893;54701;6099;6460;10138;7506;;1010;;754;;671;;;;;;779;;629;;;;;;95;;;;278;;19;;;;;;;;;;145;;4278;;;;;;
09;Bayern;99;9464900;9464900;7997019;7997019;48701;25897;7948318;7971122;1016849;920748;;;969643;957169;246859;333361;1384089;1515533;3271730;2963732;366094;456663;461183;345812;28466;61869;20511;29011;9947;30612;;;;;65991;50636;49234;33328;;;;;614;5530;;;5784;12315;888;1663;;;;;;;;;13912;7476;19914;245664;;;;;16610;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
258;Stuttgart I;08;188917;188917;162092;162092;912;415;161180;161677;25231;24194;45652;42315;45668;40810;9327;11751;13843;14422;;;14200;17528;1980;878;;828;;307;1570;685;;;;;3426;2058;;260;;;;;;;;148;;;283;94;;;;;;;;;;108;;5291;;;;;;
259;Stuttgart II;08;174909;174909;139573;139573;1076;631;138497;138942;22055;22564;42059;37214;29438;24215;5789;8085;20165;19979;;;12414;15095;1789;975;;986;;351;1657;692;;;;;2200;1423;;219;;;;;;;;138;;;344;145;;;;;;;;;;151;;6710;;;;;587;
260;Böblingen;08;243100;243100;204959;204959;1381;942;203578;204017;34197;29381;76031;67755;27409;28451;12438;14312;34826;35769;;;9936;12167;6045;2980;;1372;;456;;778;;;;;1826;1323;;329;;;;;;;;422;;;280;109;;;;;;;;;;221;;8192;;;;;590;
261;Esslingen;08;165367;165367;139385;139385;777;583;138608;138802;22446;21533;51329;45134;21500;20809;6021;7966;21754;22299;;;9177;9942;3479;1877;;1124;1104;493;;572;;;;;1798;1098;;222;;;;;;;;153;;;;83;;;;;;;;;;137;;5360;;;;;;
262;Nürtingen;08;203453;203453;173210;173210;1080;780;172130;172430;28298;24364;64951;58091;24794;23392;9105;11503;30578;31029;;;9264;9951;5140;2660;;1466;;697;;769;;;;;;1180;;314;;;;;;;;339;;;;58;;;;;;;;;;171;;6446;;;;;;
263;Göppingen;08;174712;174712;143878;143878;1197;839;142681;143039;24232;20544;52945;47870;13239;13447;5839;7925;32263;33279;;;6812;7797;4449;2137;;1228;1653;729;;604;;;;;1072;674;;257;;;;;;;;168;;;177;68;;;;;;;;;;175;;6137;;;;;;
264;Waiblingen;08;219692;219692;184963;184963;1227;868;183736;184095;31594;26984;69223;61351;22702;23496;10519;12485;33167;34225;;;9725;10731;4714;2350;;1686;2092;893;;705;;;;;;1161;;329;;;;;;;;373;;;;79;;;;;;;;;;215;;7032;;;;;;
265;Ludwigsburg;08;212479;212479;179564;179564;1138;773;178426;178791;27089;27023;65151;57281;28624;26602;9136;11448;30109;30184;;;11130;12277;3164;2114;;1310;1458;645;;704;;;;;1765;1312;800;359;;;;;;;;228;;;;60;;;;;;;;;;169;;7075;;;;;;
266;Neckar-Zaber;08;228597;228597;195892;195892;1272;879;194620;195013;29182;28171;76390;64629;22573;23637;7695;12296;37965;39633;;;9924;10386;5081;2854;;1636;2043;1003;;806;;;;;2775;1471;992;459;;;;;;;;329;;;;82;;;;;;;;;;193;;7428;;;;;;
267;Heilbronn;08;238592;238592;194706;194706;1705;1256;193001;193450;29914;27713;67516;56936;16637;18307;9853;12027;48360;49239;;;11484;11923;4328;2649;;1977;1915;1003;;927;;;;;1997;1239;;370;;;;;;;;359;;;313;86;;;;;;;;;684;304;;8391;;;;;;
268;Schwäbisch Hall – Hohenlohe;08;224446;224446;186104;186104;1415;1092;184689;185012;27498;24445;67217;58817;18528;18083;8307;10582;44361;46423;;;8902;9845;4614;2862;;1524;2067;1115;1718;896;;;;;1477;1105;;460;;;;;;;;529;;;;69;;;;;;;;;;266;;7991;;;;;;
269;Backnang – Schwäbisch Gmünd;08;175503;175503;146412;146412;1272;727;145140;145685;23853;20169;53070;47465;15498;15531;5844;7846;33945;33898;;;7486;8422;3174;1732;;1243;;566;2040;809;;;;;;795;;287;;;;;;;;348;;;230;62;;;;;;;;;;222;;6290;;;;;;
270;Aalen – Heidenheim;08;217828;217828;180562;180562;1738;1009;178824;179553;25137;25288;74007;62269;14872;16827;6425;8745;41336;41365;;;8987;9696;4984;2930;;1362;;581;;701;;;;;1878;918;;334;;;;;;;;219;;;;68;;;;;;;;;1198;339;;7911;;;;;;
271;Karlsruhe-Stadt;08;202812;202812;168556;168556;1126;712;167430;167844;25553;26164;39599;37646;51305;40424;6399;8657;22985;22677;;;13354;18801;2015;993;;1393;;352;1945;1020;;;;;4020;2745;;223;;;;;;;;269;;;255;95;;;;;;;;;;139;;6246;;;;;;
272;Karlsruhe-Land;08;207276;207276;176250;176250;1476;848;174774;175402;26152;26361;68439;58135;22739;23378;7333;9721;32290;33393;;;8836;9790;4592;2329;;1774;;458;2083;889;;;;;2310;1524;;255;;;;;;;;408;;;;50;;;;;;;;;;193;;6744;;;;;;
273;Rastatt;08;200964;200964;163983;163983;1529;1050;162454;162933;24570;23552;63111;54349;18275;17673;5727;8032;36075;36771;;;7609;8737;5410;2611;;1614;1677;713;;661;;;;;;1021;;205;;;;;;;;143;;;;38;;;;;;;;;;194;;6619;;;;;;
274;Heidelberg;08;218284;218284;186540;186540;1156;799;185384;185741;29464;31556;54060;48787;51423;40599;6767;10535;22182;22414;;;13225;18830;2566;1377;;1323;;318;2271;913;;;;;3251;2100;;221;;;;;;;;171;;;175;52;;;;;;;;;;157;;6388;;;;;;
275;Mannheim;08;195336;195336;153137;153137;1234;874;151903;152263;34133;27685;37564;35226;27491;24375;6389;7836;27165;26730;;;12114;17209;2626;1127;2759;1754;;322;1441;824;;;;;;1485;;167;;;;;;;;169;;;221;82;;;;;;;;;;144;;7128;;;;;;
276;Odenwald – Tauber;08;206482;206482;171412;171412;1520;1079;169892;170333;24015;22572;72796;61951;13335;14283;5336;8157;39072;40149;;;7689;8330;5757;3245;;1475;1892;698;;698;;;;;;778;;437;;;;;;;;235;;;;31;;;;;;;;;;196;;7098;;;;;;
277;Rhein-Neckar;08;195506;195506;163944;163944;1465;928;162479;163016;33082;25577;55932;50684;17909;20053;7029;9194;33084;33689;;;8276;10194;4754;2214;;1538;;422;;740;;;;;2413;1437;;222;;;;;;;;288;;;;35;;;;;;;;;;180;;6549;;;;;;
278;Bruchsal – Schwetzingen;08;194214;194214;162110;162110;1641;973;160469;161137;26193;23130;57953;51746;17222;17612;6690;8450;35699;36132;;;8289;9271;5664;2544;;2048;;497;;797;;;;;2759;1258;;218;;;;;;;;182;;;;35;;;;;;;;;;208;;7009;;;;;;
279;Pforzheim;08;212982;212982;174317;174317;2290;979;172027;173338;36222;22823;63758;52835;;18236;9382;10769;46265;43959;;;11022;9320;;1988;;2042;;526;;705;;;;;5378;1343;;263;;;;;;;;589;;;;51;;;;;;;;;;229;;7660;;;;;;
280;Calw;08;197556;197556;163676;163676;1275;868;162401;162808;20936;19865;63396;55072;13187;14354;6842;9667;39321;41608;;;6312;7650;5818;2671;2426;1520;;536;;505;;;;;1523;898;;322;;;;;;;2021;1325;;;;28;;;;;;;;;619;264;;6523;;;;;;
281;Freiburg;08;228338;228338;196060;196060;1297;795;194763;195265;30485;29933;47806;43343;63281;51966;5542;8284;20008;20285;;;19518;27165;2574;1400;;1649;;463;1842;903;;;;;3469;2140;;373;;;;;;;;275;;;238;74;;;;;;;;;;156;;6856;;;;;;
282;Lörrach – Müllheim;08;229946;229946;187831;187831;1465;1052;186366;186779;32288;29798;61900;54618;29238;28450;5810;9156;32848;33960;;;11325;12651;10174;3622;;2005;;601;;922;;;;;2783;1528;;351;;;;;;;;508;;;;66;;;;;;;;;;198;;8345;;;;;;
283;Emmendingen – Lahr;08;218790;218790;182330;182330;1463;1021;180867;181309;40198;28144;66980;58417;18327;23990;5693;8496;34276;35303;;;8518;10694;6875;3352;;2073;;509;;880;;;;;;1229;;391;;;;;;;;284;;;;44;;;;;;;;;;193;;7310;;;;;;
284;Offenburg;08;204663;204663;167895;167895;1709;1094;166186;166801;21577;22195;63491;56002;20488;18512;7405;8781;34411;36359;;;8988;9490;7685;3182;;1564;;718;;683;;;;;2141;1164;;261;;;;;;;;183;;;;29;;;;;;;;;;155;;7523;;;;;;
285;Rottweil – Tuttlingen;08;196201;196201;161406;161406;1586;1145;159820;160261;17696;17306;62241;55063;12461;12443;8723;9737;43998;43400;;;7144;7540;4794;2350;;1504;;632;;637;;;;;2763;1264;;522;;;;;;;;356;;;;30;;;;;;;;;;229;;7248;;;;;;
286;Schwarzwald-Baar;08;160370;160370;131136;131136;1065;905;130071;130231;19395;16814;55045;44340;9979;12895;4524;6873;29141;30951;;;5295;6591;2933;2066;;1243;;481;;502;;;;;1499;929;;232;;;;;;;;285;;;;47;;;;;;;;;;172;;5810;;;;;2260;
287;Konstanz;08;207094;207094;170740;170740;1169;794;169571;169946;26451;22599;63922;51150;25390;28614;7363;9833;29584;31134;;;9987;12660;3341;1929;;1349;;466;;872;;;;;2911;1691;;301;;;;;;;;219;;;;48;;;;;;;;;;148;;6933;;;;;622;
288;Waldshut;08;176269;176269;145432;145432;1029;761;144403;144671;26960;20751;54464;48694;16809;19776;5169;7212;26708;27608;;;6839;8199;4321;2411;;1207;1372;623;;541;;;;;1761;1184;;286;;;;;;;;220;;;;41;;;;;;;;;;176;;5742;;;;;;
289;Reutlingen;08;197838;197838;165466;165466;1264;812;164202;164654;22440;21626;63189;53652;20868;20122;9115;10605;32481;34595;;;9120;9970;4645;2127;;1310;;443;2054;766;;;;;;993;;269;;;;;;;;363;;;290;73;;;;;;;;;;195;;7545;;;;;;
290;Tübingen;08;199799;199799;172209;172209;1209;732;171000;171477;22148;23886;54250;48875;42175;32947;6244;8579;26760;27676;;;10520;16466;3861;1756;;1152;;407;1667;719;;;;;1802;1280;;332;;;;;;;;278;;;;88;;;;;;;;;;204;;6832;;;;;1573;
291;Ulm;08;223539;223539;190052;190052;1282;932;188770;189120;25216;25474;73229;64118;29343;25669;6700;9748;34984;36440;;;9376;12210;3799;2556;2962;1751;;530;;737;;;;;1717;1289;;409;;;;;;;;297;;;218;76;;;;;;;;;1226;439;;7377;;;;;;
292;Biberach;08;169789;169789;144530;144530;1020;788;143510;143742;18225;14951;58651;55024;14819;14064;5555;7298;32075;33315;;;5447;6496;4638;2696;2401;1258;;613;;558;;;;;1699;885;;576;;;;;;;;273;;;;29;;;;;;;;;;215;;5491;;;;;;
293;Bodensee;08;173329;173329;145122;145122;1102;770;144020;144352;21967;18778;57654;50583;18268;19560;4629;8286;29316;27287;;;6089;8004;3534;2020;;1053;;507;;585;;;;;2332;1117;;313;;;;;;;;209;;;231;50;;;;;;;;;;153;;5847;;;;;;
294;Ravensburg;08;188226;188226;157997;157997;1224;761;156773;157236;17209;18446;60700;55057;23870;20841;8948;8525;29160;29900;;;9809;10188;4667;2667;;1232;;730;;716;;;;;2410;1308;;623;;;;;;;;270;;;;46;;;;;;;;;;169;;6518;;;;;;
295;Zollernalb – Sigmaringen;08;180742;180742;148786;148786;1625;865;147161;147921;28895;16343;54652;54043;7836;11151;6169;8083;38498;38788;;;5850;7256;3849;2053;;1305;;455;;613;;;;;;654;;285;;;;;;;;232;;;318;101;;;;;;;;;1094;366;;6193;;;;;;
08;Baden-Württemberg;99;7653940;7653940;6382217;6382217;50411;33131;6331806;6349086;1002196;898702;2280323;2006537;887520;865594;271781;357485;1231058;1256267;;;359992;429472;163833;86284;10548;55878;17273;21859;20288;28034;;;;;69155;49001;1792;12256;;;;;;;2021;11784;;;3573;2402;;;;;;;;;4821;7743;;259788;;;;;5632;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
296;Saarbrücken;10;187345;187345;148757;148757;1861;1271;146896;147486;47529;32526;36390;33745;10868;14614;5280;6455;30329;29591;;;12423;14566;3524;1457;;2998;;;;;;;;468;;1217;;;;;;;;;;;;;553;133;;;;;;;;;;374;;9342;;;;;;
297;Saarlouis;10;198307;198307;164763;164763;2378;1637;162385;163126;46006;34687;51702;46087;7726;10185;5260;7259;35619;35420;;;10902;11036;5170;2170;;3333;;;;;;;;469;;1000;;;;;;;;;;;;;;55;;;;;;;;;;384;;11041;;;;;;
298;St. Wendel;10;168073;168073;143180;143180;1871;1443;141309;141737;40409;31470;47870;42958;5341;8744;5363;5753;29033;29390;;;8133;8583;5160;2322;;2892;;;;;;;;409;;688;;;;;;;;;;;;;;47;;;;;;;;;;363;;8118;;;;;;
299;Homburg;10;180528;180528;148003;148003;1987;1340;146016;146663;44560;32333;40910;38206;6479;9652;4685;6222;34096;34800;;;9695;9813;5591;2504;;3024;;;;;;;;410;;809;;;;;;;;;;;;;;68;;;;;;;;;;363;;8459;;;;;;
10;Saarland;99;734253;734253;604703;604703;8097;5691;596606;599012;178504;131016;176872;160996;30414;43195;20588;25689;129077;129201;;;41153;43998;19445;8453;;12247;;;;;;;;1756;;3714;;;;;;;;;;;;;553;303;;;;;;;;;;1484;;36960;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Bundesgebiet;;60490603;60490603;49927315;49927315;429129;285228;49498186;49642087;9934614;8148284;12601967;11194700;5442912;5761476;1623351;2148878;10175438;10327148;3271730;2963732;3932584;4355382;1254488;769170;82485;482032;41903;85557;122386;242806;9757;24558;2152;13809;391577;355146;54641;49730;58773;76126;;304;1873;14446;2021;11784;5784;12315;24208;19876;;694;1282;21377;73;425;1303;719;88046;79012;299226;2468670;658;7128;2844;6803;70110;
