Nr;Gebiet;gehört zu;Wahlberechtigte;;Wählende;;Ungültige Stimmen;;Gültige Stimmen;;SPD;;CDU;;Gruene;;FDP;;AfD;;CSU;;Linke;;FREIE WÄHLER;;PARTEI MENSCH UMWELT TIERSCHUTZ;;Basisdemokratische Partei Deutschland;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;Die Gerechtigkeitspartei – Team Todenhöfer;;Piratenpartei Deutschland;;Volt Deutschland;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;Südschleswigscher Wählerverband;;Partei für Verjüngungsforschung;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;Bündnis C - Christen für Deutschland;;Bayernpartei;;Marxistisch-Leninistische Partei Deutschlands;;Menschliche Welt - für das Wohl und Glücklichsein aller;;Partei des Fortschritts;;Sozialistische Gleichheitspartei, Vierte Internationale;;Bürgerrechtsbewegung Solidarität;;BÜNDNIS DEUTSCHLAND;;BSW;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;WerteUnion;;Übrige;
;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen
200;Kreuznach;07;179528;179528;146442;146442;1505;991;144937;145451;38085;29494;46766;44074;7764;11570;4714;6425;30689;32452;;;6352;8583;4407;2712;;1816;;;;621;;;;;1441;998;;202;;;;;;;;;;;;69;;;;;;;;;;181;4719;6254;;;;;;
201;Bitburg;07;161723;161723;134564;134564;1590;950;132974;133614;27098;22634;53458;48896;7362;10070;4154;6041;22265;23936;;;4894;6622;11825;7030;;1482;;;;581;;;;;1918;870;;262;;;;;;;;;;;;16;;;;;;;;;;192;;4982;;;;;;
202;Trier;07;187536;187536;156858;156858;1442;931;155416;155927;47052;31155;47841;47886;12834;19025;6151;7266;22101;24103;;;7774;11944;4127;3192;;1717;;;;819;;;;;1559;1430;619;312;;;;;;;;;;;;37;;;;;;;;;;199;5358;6842;;;;;;
203;Montabaur;07;209489;209489;174499;174499;2185;1577;172314;172922;40265;31353;61540;56164;10840;14638;5479;7959;35333;36388;;;8708;10315;5941;3791;4208;2467;;;;823;;;;;;1150;;214;;;;;;;;;;;;30;;;;;;;;;;300;;7330;;;;;;
204;Mainz;07;251092;251092;214604;214604;1917;1382;212687;213222;50411;39496;57971;56549;40617;44146;8031;10914;21665;23043;;;19431;23596;3039;2045;;1772;;;1454;973;;;;;4078;2768;1033;648;;;;;;;;;;;;50;;;;;;;;;;181;4957;7041;;;;;;
205;Worms;07;211985;211985;178231;178231;1976;1533;176255;176698;39042;33740;62290;50919;13996;18870;5171;8240;35866;38743;;;8638;11219;3857;2888;;2282;;;;789;;;;;2392;1523;;253;;;;;;;;;;;;37;;;;;;;;;;262;4401;6933;;;;;602;
206;Ludwigshafen/Frankenthal;07;205998;205998;163106;163106;2081;1444;161025;161662;42212;31416;43626;44478;12367;14377;5736;7095;37119;37872;;;7794;11028;4618;2871;;2194;;;;790;;;;;1481;1028;;180;;;;;;;;;;;;45;;;;;;;;;640;412;5432;7876;;;;;;
207;Neustadt – Speyer;07;217120;217120;182171;182171;1700;1241;180471;180930;39588;32815;62618;54948;16908;21329;5580;8796;35239;36881;;;7117;10071;4902;3506;;2260;;;;717;;;;;2507;1657;;221;;;;;;;;;;;;28;;;;;;;;;472;325;5540;7376;;;;;;
208;Kaiserslautern;07;219832;219832;179200;179200;2318;1557;176882;177643;49462;36500;42591;44231;10099;14624;5137;6973;45159;45952;;;7397;10770;7385;4695;;2649;;;;797;;;;;1570;992;;236;;;;;;;;;;;;56;;;;;;;;;453;331;7629;8837;;;;;;
209;Pirmasens;07;167724;167724;139067;139067;1840;1383;137227;137684;28474;23976;45682;41657;6112;8138;4078;5666;34424;37286;;;4924;6594;4632;2903;3840;2888;;;;636;;;;;;607;;150;;;;;;;;;;;;31;;;;;;;;;234;249;4827;6903;;;;;;
210;Südpfalz;07;216108;216108;179904;179904;1717;1327;178187;178577;34273;30705;68122;55080;13802;19800;4686;7684;35589;37867;;;7114;10928;4097;3363;3060;2485;;;;840;;;;;2083;1560;;276;;;;;;;;;;;;68;;;;;;;;;;231;5361;7690;;;;;;
07;Rheinland-Pfalz;99;3013681;3013681;2500852;2500852;27660;18560;2473192;2482292;573552;462766;831620;760535;204073;256930;83348;114036;476041;498733;;;123581;161744;80626;52028;11108;31534;;;1454;11470;;;;;26389;18845;3615;4146;;;;;;;;;;;;636;;;;;;;;;2516;3924;54667;104965;;;;;602;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Altötting;09;167997;167997;137711;137711;743;457;136968;137254;11870;11493;;;10399;10713;4037;4887;32226;33187;60164;54393;5867;6212;8638;7504;;1057;1580;800;;501;;;;;;550;2187;839;;;;;;88;;;;340;;28;;;;;;;;;;114;;4548;;;;;;
212;Erding – Ebersberg;09;201032;201032;175170;175170;727;439;174443;174731;17609;17630;;;23383;22730;6323;8831;27275;28849;80087;70010;6856;8824;7059;7524;;1418;;600;;695;;;;;2012;1212;2472;1023;;;;;;129;;;;375;;31;;;;;;;;;;170;;4680;;;;;1367;
213;Freising;09;238346;238346;205009;205009;942;579;204067;204430;23357;20234;;;25718;23759;5803;8898;36965;38981;88023;78633;8630;10646;13209;11034;;1657;2362;948;;868;;;;;;1193;;1034;;;;;;177;;;;367;;37;;;;;;;;;;135;;5829;;;;;;
214;Fürstenfeldbruck;09;230186;230186;199419;199419;822;523;198597;198896;29795;23134;;;23886;27778;8748;10015;27997;29818;84648;78928;7312;10605;8829;6926;2870;1634;;654;;785;;;;;2541;1703;1971;924;;;;;;151;;;;327;;25;;;;;;;;;;150;;5339;;;;;;
215;Ingolstadt;09;235847;235847;196036;196036;956;704;195080;195332;21555;19812;;;14531;18024;3711;7350;39220;41850;91837;78647;7730;9258;9906;9142;2001;1411;;652;1385;863;;;;;1575;1033;1629;826;;;;;;113;;;;301;;31;;;;;;;;;;150;;5869;;;;;;
216;München-Nord;09;223690;223690;185755;185755;1017;523;184738;185232;36593;28582;;;44697;42281;8536;12394;16685;17688;59872;53494;12121;16785;2700;2195;;1186;;401;;779;;;;;3010;2295;;563;;;;;;169;;;;150;;47;;;;;;;;;524;168;;6055;;;;;;
217;München-Ost;09;243727;243727;204779;204779;1063;588;203716;204191;31514;30928;;;49343;44955;8250;12795;18438;19672;73929;63472;12464;17133;3648;2488;;1324;;436;2046;840;;;;;4084;2280;;740;;;;;;182;;;;208;;46;;;;;;;;;;133;;6559;;;;;;
218;München-Süd;09;214876;214876;181033;181033;629;444;180404;180589;26427;28005;;;53695;43483;7163;10046;15864;16773;54803;51845;9819;16846;2357;2086;1641;1324;;392;1167;804;;;;;2778;2268;;652;;;;;;173;;;;153;102;53;;;;;;;;;;104;4588;5582;;;;;;
219;München-West/Mitte;09;246546;246546;210770;210770;2754;447;208016;210323;32990;32280;;;60196;52687;10324;12529;;18815;72171;60481;12671;18658;6361;2459;3687;1233;;406;2248;859;;;;;4395;2529;;744;;;;;;171;;;;161;;45;;;;;;;;;1671;165;;6101;;;;;1302;
220;München-Land;09;233438;233438;205557;205557;798;464;204759;205093;27304;26648;;;40043;35335;8785;12981;22919;24069;88197;80084;8428;10311;6077;4279;3006;1666;;520;;771;;;;;;1822;;766;;;;;;161;;;;240;;25;;;;;;;;;;147;;5268;;;;;;
221;Rosenheim;09;238400;238400;201569;201569;954;658;200615;200911;17905;19265;;;25185;25018;5724;9362;36811;39370;82005;75528;9147;10130;16019;9469;2706;1710;2341;1249;;817;;;;;1891;1001;;1000;;;;;350;173;;;;479;;31;;;;;;;;;531;292;;6017;;;;;;
222;Bad Tölz-Wolfratshausen – Miesbach;09;165905;165905;141866;141866;716;468;141150;141398;10901;12829;;;20820;17584;4754;7507;23293;24280;65482;59231;4695;5717;7225;6309;;930;;512;;539;;;;;1107;766;1271;597;;;;;;62;;;1602;547;;21;;;;;;;;;;104;;3863;;;;;;
